Date,High,Low,Closing,Value Traded,No. of Trans,No. of Shares
16/03/2020,0.62,0.61,0.62,8172,13,13249
15/03/2020,0.64,0.62,0.62,15959,15,25650
12/03/2020,0.66,0.64,0.65,5488,12,8500
11/03/2020,0.68,0.66,0.66,5700,9,8500
10/03/2020,0.68,0.68,0.68,1360,1,2000
09/03/2020,0.68,0.67,0.68,6944,8,10360
05/03/2020,0.7,0.69,0.7,1243,5,1800
04/03/2020,0.7,0.68,0.68,20327,28,29709
03/03/2020,0.69,0.67,0.67,904,5,1330
02/03/2020,0.68,0.67,0.68,14531,18,21641
01/03/2020,0.67,0.67,0.67,2010,4,3000
27/02/2020,0.69,0.67,0.69,9930,13,14600
26/02/2020,0.7,0.68,0.7,26280,33,37924
25/02/2020,0.69,0.68,0.68,2110,5,3095
24/02/2020,0.69,0.68,0.69,6005,9,8830
20/02/2020,0.68,0.68,0.68,1360,3,2000
19/02/2020,0.69,0.67,0.69,4711,8,6934
18/02/2020,0.68,0.67,0.68,24447,15,36486
17/02/2020,0.68,0.67,0.68,2360,3,3500
16/02/2020,0.7,0.68,0.69,46947,28,68254
13/02/2020,0.69,0.69,0.69,8660,13,12550
12/02/2020,0.7,0.69,0.7,5730,9,8300
11/02/2020,0.7,0.69,0.7,21460,11,31100
10/02/2020,0.7,0.69,0.7,42285,22,61150
09/02/2020,0.7,0.69,0.7,4420,11,6400
06/02/2020,0.69,0.68,0.69,170,4,250
05/02/2020,0.69,0.68,0.69,4037,8,5930
04/02/2020,0.7,0.68,0.69,36049,41,52281
03/02/2020,0.69,0.68,0.69,22474,43,33044
02/02/2020,0.69,0.67,0.68,3591,13,5280
30/01/2020,0.68,0.67,0.68,12332,19,18250
29/01/2020,0.68,0.67,0.68,19745,14,29468
28/01/2020,0.68,0.67,0.68,28965,49,43200
27/01/2020,0.69,0.67,0.68,13734,21,20217
26/01/2020,0.69,0.68,0.69,27784,42,40283
23/01/2020,0.7,0.68,0.7,46862,74,67791
22/01/2020,0.7,0.66,0.68,81831,68,121006
21/01/2020,0.7,0.68,0.68,22114,24,32380
20/01/2020,0.71,0.68,0.71,140277,157,201944
19/01/2020,0.67,0.65,0.67,13249,34,20052
16/01/2020,0.66,0.65,0.65,12205,14,18775
15/01/2020,0.67,0.65,0.65,31353,45,47852
14/01/2020,0.65,0.63,0.65,15360,13,24150
13/01/2020,0.66,0.64,0.64,38902,41,60687
12/01/2020,0.65,0.64,0.64,9563,14,14919
09/01/2020,0.65,0.64,0.65,14518,37,22600
08/01/2020,0.67,0.64,0.65,9797,28,15215
07/01/2020,0.67,0.65,0.66,17905,41,27390
06/01/2020,0.65,0.63,0.64,3553,14,5584
05/01/2020,0.66,0.63,0.63,20054,49,31370
02/01/2020,0.64,0.62,0.63,2528,7,4050
31/12/2019,0.61,0.59,0.6,46994,60,77876
30/12/2019,0.62,0.61,0.61,15229,19,24917
29/12/2019,0.63,0.62,0.62,745,6,1200
26/12/2019,0.63,0.62,0.62,746,7,1200
24/12/2019,0.62,0.61,0.61,2145,12,3478
23/12/2019,0.63,0.62,0.63,11206,32,18071
22/12/2019,0.63,0.62,0.62,508,6,816
19/12/2019,0.64,0.62,0.63,7427,20,11795
18/12/2019,0.62,0.62,0.62,620,1,1000
16/12/2019,0.64,0.63,0.63,972,7,1542
11/12/2019,0.64,0.63,0.64,642,6,1018
10/12/2019,0.65,0.63,0.64,28178,21,44415
09/12/2019,0.63,0.62,0.62,833,3,1327
08/12/2019,0.64,0.62,0.63,152522,9,245937
05/12/2019,0.64,0.62,0.64,3007,9,4794
04/12/2019,0.63,0.63,0.63,630,2,1000
03/12/2019,0.63,0.62,0.62,126,3,203
02/12/2019,0.62,0.61,0.62,1953,9,3166
01/12/2019,0.62,0.61,0.61,34,2,55
28/11/2019,0.62,0.62,0.62,1261,5,2034
27/11/2019,0.62,0.62,0.62,2924,2,4716
25/11/2019,0.63,0.63,0.63,189,2,300
21/11/2019,0.62,0.62,0.62,17314,18,27926
20/11/2019,0.63,0.63,0.63,3843,8,6100
19/11/2019,0.63,0.62,0.63,4968,9,8010
17/11/2019,0.63,0.62,0.63,125,2,200
14/11/2019,0.62,0.62,0.62,2226,5,3591
13/11/2019,0.62,0.62,0.62,930,2,1500
11/11/2019,0.63,0.62,0.62,3752,18,6050
10/11/2019,0.63,0.62,0.63,1303,4,2100
